Proposicoes,Ementa,Autor,UF,Partido,Apresentscao,Situacao,Link,Codfificacao Georgia,Codificacao Flavia,Codfificacao por busca de palavras,pandemia,covid,coronav,emergencial,calamidade
PLP 115/2020,"Estabelece que, durante oestado de calamidade pública decorrente do COVID-19, os impostos e contribuições devidos por substituição tributária ""para frente"" serão exigidos após a ocorrência do fato gerador presumido.",Luis Miranda,DF,DEM,28/04/2020,Aguardando Despacho do Presidente da Câmara dos Deputados,http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2250840,1,1,1,#VALUE!,69,#VALUE!,#VALUE!,36
PL 1418/2020,"Autoriza, durante o período de estado de calamidade pública decorrente da pandemia do Coronavírus, que seja deduzido do imposto de renda devido por pessoas físicas e jurídicas as doações a fundos estaduais de saúde ou a hospitais universitários estaduais ou federais que organizem campanha de arrecadação para combate à COVID-19.",Fábio Trad,MS,PSD,01/04/2020,Aguardando Despacho do Presidente da Câmara dos Deputados,http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2242698,1,1,1,75,321,87,#VALUE!,42
PL 1918/2020,"Autoriza, durante o período de estado de calamidade pública decorrente da pandemia da covid-19, que sejam suspensos os pagamentos de empréstimos consignados contratados por militares.",Fábio Trad,MS,PSD,15/04/2020,Aguardando Despacho do Presidente da Câmara dos Deputados,http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2248302,1,1,1,75,87,#VALUE!,#VALUE!,42
PL 2309/2020,"Autoriza que, durante o período de estado de calamidade pública decorrente da pandemia da covid-19, seja suspensa a exigibilidade de pagamentos de empréstimos consignados. ",Expedito Netto,RO,PSD,29/04/2020,Aguardando Despacho do Presidente da Câmara dos Deputados,http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2250935,1,1,1,79,91,#VALUE!,#VALUE!,46
PL 1680/2020,"Determina tratamento prioritário, enquanto durar o estado de calamidade pública decretado pelo Congresso Nacional, às empresas e aos Estados que adotarem medidas para produção imediata de insumos e equipamentos médicos prioritários no combate à pandemia do coronavírus.",Eduardo Bismarck,CE,PDT,07/04/2020,Aguardando Despacho do Presidente da Câmara dos Deputados,http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2244917,1,1,1,246,#VALUE!,258,#VALUE!,62
PL 1433/2020,"Permite que, excepcionalmente e enquanto perdurar o estado de calamidade pública reconhecido pelo Congresso Nacional, o Banco Central do Brasil determine que os montantes que as instituições financeiras deixaram de recolher, em decorrência da redução de alíquotas do depósito compulsório, uma das medidas de enfrentamento à pandemia do coronavírus tomadas por aquela entidade, sejam integralmente destinados ao crédito. ",Paulo Abi-Ackel,MG,PSDB,01/04/2020,Aguardando Despacho do Presidente da Câmara dos Deputados,http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2242717,1,1,1,325,#VALUE!,337,#VALUE!,63
PL 2045/2020,"Dispõe sobre medidas excepcionais a serem adotadas durante o estado de calamidade pública, reconhecido pelo Decreto Legislativo n° 6, de 20 de março de 2020, sobre a realização emergencial do Exame Nacional de Revalidação de Diplomas Médicos Expedidos por Instituição de Educação Superior Estrangeira (REVALIDA) e Contratação   durante a pandemia causada pelo novo coronavírus.",Perpétua Almeida,AC,PCdoB,20/04/2020,Aguardando Despacho do Presidente da Câmara dos Deputados,http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2249981,1,1,1,339,#VALUE!,366,178,72
PL 1911/2020,Prevê a prorrogação da renovação de licença sanitária durante o estado de calamidade pública provocada pela pandemia do Coronavírus (COVID-19).,Vinicius Farah,RJ,MDB,15/04/2020,Aguardando Despacho do Presidente da Câmara dos Deputados,http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2248292,1,1,1,109,134,121,#VALUE!,75
PL 1609/2020,"Autoriza deduções do valor do imposto devido, durante o período de estado de calamidade pública, por pessoa jurídica, às doações para combate à pandemia do Coronavírus.",Pastor Gil,MA,PL,06/04/2020,Aguardando Despacho do Presidente da Câmara dos Deputados,http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2244098,1,1,1,145,#VALUE!,157,#VALUE!,78
PL 1684/2020,Proíbe o cumprimento de mandados de reintegração de posse durante o período de calamidade pública decretado em razão da COVID-19,Alencar Santana Braga;Professora Rosa Neide;Jorge Solla;Patrus Ananias;José Guimarães;Maria do Rosário;Rogério Correia;João Daniel;Célio Moura;Paulo Teixeira;Frei Anastacio Ribeiro;José Ricardo;Carlos Veras;Valmir Assunção,SP;MT;BA;MG;CE;RS;MG;SE;TO;SP;PB;AM;PE;BA,PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT,07/04/2020,Tramitando em Conjunto,http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2244924,1,1,1,#VALUE!,121,#VALUE!,#VALUE!,80
PL 1466/2020,"Isenta caminhoneiros do pagamento de pedágio em rodovias, durante o período de calamidade pública causada pelo combate ao vírus Covid-19, em todo o território nacional. ",Filipe Barros,PR,PSL,02/04/2020,Aguardando Despacho do Presidente da Câmara dos Deputados,http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2242791,1,1,1,#VALUE!,129,#VALUE!,#VALUE!,80
PL 1725/2020,"Dispõe sobre a suspensão, pelo período em que perdurar o estado de emergência e calamidade pública declarada em decorrência da pandemia COVID-19 no Brasil, a cobrança dos empréstimos consignados contraídos junto às instituições financeiras. ",Celina Leão,DF,PP,08/04/2020,Aguardando Despacho do Presidente da Câmara dos Deputados,http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2246547,1,1,1,128,137,#VALUE!,#VALUE!,81
PL 1442/2020,"Institui Gratificação Extraordinária aos servidores da saúde durante a vigência da calamidade de saúde pública decorrente do coronavírus (COVID-19), e dá outras disposições. ",Mauro Nazif;Lídice da Mata;Luciano Ducci;Camilo Capiberibe;Vilson da Fetaemg;Danilo Cabral;Alessandro Molon,RO;BA;PR;AP;MG;PE;RJ,PSB;PSB;PSB;PSB;PSB;PSB;PSB,02/04/2020,Aguardando Despacho do Presidente da Câmara dos Deputados,http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2242760,1,1,1,#VALUE!,139,126,#VALUE!,84
PL 1891/2020,Prorroga o prazo para renovação de Certificados Digitais durante pandemia ou estado de calamidade pública reconhecido pelo Governo Federal.,Charlles Evangelista,MG,PSL,14/04/2020,Aguardando Despacho do Presidente da Câmara dos Deputados,http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2248240,1,1,1,66,#VALUE!,#VALUE!,#VALUE!,88
PL 1580/2020,Suspende os prazos de validade dos concursos públicos no período de vigência do Estado de Calamidade Pública relacionada ao Coronavírus (Covid 19).,Flordelis,RJ,PSD,06/04/2020,Aguardando Despacho do Presidente da Câmara dos Deputados,http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2243102,1,1,1,#VALUE!,138,125,#VALUE!,91
